"행정구역별","산업별","조직형태별","항목","단위","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"전국","공공행정, 국방 및 사회보장 행정(84)","회사이외법인","종사자수[명]","명","5467","6394","573548","657436","662771","636289","637787","645017","648820","687932","691228","706279","734139","768046","818920",
"전국","공공행정, 국방 및 사회보장 행정(84)","비법인단체","사업체수[개]","개","12128","11897","25","12","12","11","7","4","9","6","8","22","17","44","6",
"전국","공공행정, 국방 및 사회보장 행정(84)","비법인단체","종사자수[명]","명","537552","552285","215","77","74","101","49","34","146","37","42","485","427","687","79",
"전국","교육 서비스업(85)","계","사업체수[개]","개","150024","156164","160277","162601","166527","170575","172289","173740","175606","175800","180595","185275","189800","193790","191529",
"전국","교육 서비스업(85)","계","종사자수[명]","명","1249856","1299080","1317285","1363740","1430894","1438462","1475660","1498539","1513769","1563848","1559558","1596963","1630311","1672443","1579773",
"전국","교육 서비스업(85)","개인사업체","사업체수[개]","개","123118","128323","131988","133523","135023","138113","138247","138753","139342","139975","143659","146981","150737","153208","149590",
"전국","교육 서비스업(85)","개인사업체","종사자수[명]","명","352014","366575","371736","373583","374059","371535","364052","364458","364087","380591","378709","405021","418274","426230","344938",
"전국","교육 서비스업(85)","회사법인","사업체수[개]","개","5218","5738","6174","6615","7649","7993","8756","9319","10231","9846","10566","11340","12121","12661","12888",
"전국","교육 서비스업(85)","회사법인","종사자수[명]","명","107242","114590","121766","125052","138746","132030","135392","136120","140203","149305","147095","154699","158304","159772","146743",
"전국","교육 서비스업(85)","회사이외법인","사업체수[개]","개","7239","7324","19303","19796","20691","20721","20943","21186","21606","22022","22275","22537","22812","23350","25047",
"전국","교육 서비스업(85)","회사이외법인","종사자수[명]","명","293205","306616","797468","846042","895394","907316","945636","965639","976095","1000192","999888","1000355","1017830","1047752","1040438",
"전국","교육 서비스업(85)","비법인단체","사업체수[개]","개","14449","14779","2812","2667","3164","3748","4343","4482","4427","3957","4095","4417","4130","4571","4004",
"전국","교육 서비스업(85)","비법인단체","종사자수[명]","명","497395","511299","26315","19063","22695","27581","30580","32322","33384","33760","33866","36888","35903","38689","47654",
"전국","보건업 및 사회복지 서비스업(86~87)","계","사업체수[개]","개","83323","88452","94456","99899","108081","114578","122764","127925","134208","132553","141372","145909","147452","150659","149351",
"전국","보건업 및 사회복지 서비스업(86~87)","계","종사자수[명]","명","734896","807217","891093","981216","1097838","1159592","1261722","1367805","1466397","1503360","1674556","1782672","1902052","2033034","2156232",
